#"Bounced boundary ID","bounce index","total time (ps)"
CHECKPOINT,0.000
1,683,327.286
1,684,327.576
1,685,327.964
1,686,328.342
1,687,328.880
1,688,329.220
1,689,329.750
1,690,330.264
1,691,330.724
1,692,331.226
1,693,331.518
1,694,331.986
1,695,332.084
1,696,332.116
1,697,332.132
1,698,332.150
1,699,332.490
1,700,332.864
1,701,333.012
1,702,333.120
1,703,333.408
1,704,333.578
1,705,333.800
1,706,333.906
1,707,334.070
1,708,334.432
1,709,335.082
1,710,335.266
1,711,335.508
1,712,336.230
1,713,338.230
1,714,339.264
1,715,339.752
CHECKPOINT,340.000
1,716,340.508
1,717,341.398
1,718,342.356
1,719,343.154
1,720,343.658
1,721,344.858
1,722,349.208
1,723,349.762
1,724,350.804
1,725,351.246
1,726,351.558
1,727,351.590
1,728,352.242
1,729,352.450
1,730,353.830
1,731,354.696
1,732,354.848
1,733,354.978
1,734,355.054
1,735,355.104
1,736,355.154
1,737,356.182
1,738,358.188
1,739,358.930
1,740,359.882
CHECKPOINT,360.000
1,741,360.982
1,742,362.576
1,743,363.434
1,744,365.640
1,745,366.296
1,746,367.086
1,747,368.198
1,748,368.778
1,749,369.596
1,750,371.880
1,751,372.446
1,752,374.072
1,753,375.290
1,754,375.950
1,755,376.560
1,756,376.986
1,757,377.360
1,758,378.672
CHECKPOINT,380.000
1,759,380.318
1,760,380.380
1,761,380.414
1,762,380.446
1,763,380.558
1,764,380.630
1,765,380.672
1,766,380.744
1,767,380.766
1,768,380.792
1,769,380.808
1,770,380.824
1,771,380.842
1,772,380.862
1,773,381.074
1,774,381.250
1,775,381.850
1,776,382.404
1,777,382.742
1,778,383.228
1,779,383.786
1,780,384.672
1,781,385.500
1,782,385.806
1,783,386.642
1,784,387.098
1,785,387.200
1,786,387.236
1,787,387.270
1,788,387.390
1,789,387.508
1,790,387.558
1,791,387.692
1,792,387.894
1,793,388.230
1,794,388.690
1,795,388.924
1,796,389.294
1,797,389.590
1,798,389.858
1,799,390.158
1,800,390.368
1,801,390.568
1,802,390.834
1,803,391.050
1,804,391.522
1,805,391.638
1,806,391.784
1,807,391.944
1,808,392.234
1,809,392.500
1,810,392.734
1,811,393.000
1,812,393.230
1,813,393.414
1,814,393.694
1,815,393.888
1,816,395.726
1,817,397.934
1,818,398.436
1,819,398.968
1,820,399.440
CHECKPOINT,400.000
